,source,target,metaphor,linguistic_metaphor,implicit_meaning,object,properties,relations,visual_elaboration
1726,Life,Existence,814,Life is the melody in existence's silence.,Life brings beauty and meaning to an otherwise empty universe.,"Life, Melody, Silence","Musical, Harmonious, Contrasting with emptiness","Melody exists within silence, creating meaning within void","Musical notes floating in a dark void, glowing with vibrant colors against the black emptiness."
1727,Madness,Love,564,Love's lunacy dances in wisdom's grave.,Passion and emotion triumph over rational thought.,"Love, Wisdom, Dance, Grave","Lunatic, Dead, Moving",Love is dancing while wisdom lies buried,"A jester dancing on a tombstone marked ""wisdom"" while hearts float around in a moonlit night."
1728,Eating,Getting,583,Success was a meal best savored slowly.,Achievement should be enjoyed gradually and mindfully.,"Success, Meal","Slow, Savory, Enjoyable",Success is compared to eating a meal slowly and appreciatively,A person elegantly dining at a table with a glowing trophy served on a silver platter.
1729,Having A Harmful Possession,Harm,430,Her toxic relationship was a venomous snake she couldn't let go of.,Harmful attachment to something dangerous.,"Relationship, Snake, Person","Toxic, Venomous, Unable to release",Person holding onto dangerous snake despite harm,A woman tightly embracing a coiled snake that's biting her shoulder while its tail wraps around her arms.
1730,Hunger,Desire,1756,The crowd's hunger for entertainment grew ravenous.,"Intense, desperate desire for entertainment.","Crowd, Hunger","Ravenous, Growing, Intense",Crowd becoming increasingly desperate for entertainment,A mass of people with wolf-like fangs and glowing eyes reaching desperately toward a spotlit stage.
1731,Causing Functional Objects To Be Nonfunctional,Harm,1928,War is society's master switch turned to the off position.,War shuts down normal societal functions and progress.,"War, society, master switch","Off position, non-functioning, darkness",War acts as a switch that turns off society,"A giant power switch labeled ""SOCIETY"" being turned to OFF, with darkness spreading across a cityscape."
1732,Alive,Active,1782,The market's heartbeat quickens daily.,The financial market is becoming increasingly volatile and active.,"Financial market, Heart","Accelerating, Pulsing, Growing intensity",Market activity compared to increasing heart rate,A giant heart-shaped stock chart pulsing with glowing red lines and accelerating peaks.
1733,Containers,Difficulties,1126,Some hardships are leaky vessels that drain our energy.,Difficulties gradually deplete our mental and physical resources.,"Hardships, vessels, energy","Leaking, draining, depleting","Hardships act as containers that fail to hold energy, causing it to leak away",A cracked glass jar with glowing energy seeping through its cracks while a tired person slumps beside it.
1734,1 On 1 Physical Aggression,Competition,323,Their marketing campaign landed a series of quick jabs in the industry.,Aggressive and impactful competitive business tactics.,"Marketing campaign, Boxing gloves","Quick, Impactful, Competitive",Campaign actions portrayed as boxing moves against competitors,A boxing glove with a company logo punching multiple targets labeled as competitor brands.
1735,Liquid,Money,12,The company's profits are leaking through unnecessary expenses.,Money is being lost wastefully through poor financial management.,"Company profits, leaks","Flowing, draining, wasteful",Money flowing away through holes representing expenses,"A money-filled bucket with multiple holes labeled ""expenses,"" with dollar bills dripping out."
1736,Objects,Opportunities,1591,Each opportunity is a key searching for its perfect lock.,Opportunities need to find their right match to unlock potential.,Key and lock,"Searching, matching, perfect fit",Key actively seeking its corresponding lock,"A golden key with legs walking among multiple floating locks, trying each one until it glows."
1737,Forward Motion,Progress Of External Events,1403,The march of events tramples through time.,Events move forward relentlessly and unstoppably.,"Events, Time","Marching, Trampling, Forward movement",Events are moving through time in a forceful manner,"A line of giant boots marching forward, crushing clock faces beneath them while leaving footprints in an hourglass sand."
1738,Heat,Lust,1443,Their desire sparked like a match striking flint.,Sudden intense passion or attraction.,"Match, flint, desire","Sudden, intense, fiery",Striking action creating spark,A heart-shaped match head erupting into flames as it strikes against dark flint.
1739,Body,Mind,149,His mental posture was slouched with depression.,Mental state is being weighed down by depression.,"Mental state, posture, person","Slouched, heavy, downward",Depression physically weighing down on mental state,A figure with transparent head showing brain slumped forward under a heavy dark cloud.
1740,Physical Forces,Psychological Forces,470,Her anxiety was a crushing weight on her shoulders.,Overwhelming emotional burden causing physical and mental stress.,"Anxiety, shoulders, weight","Crushing, heavy, burdensome",Weight pressing down on person's shoulders,"A woman hunched over with a large boulder pressing down on her shoulders, cracks forming beneath her feet."
1741,1 On 1 Physical Aggression,Competition,327,The rival companies circled each other like fighters in a ring.,Competition and tension between business rivals.,"Companies, Fighters, Boxing Ring","Circular movement, Competitive stance, Tension","Two entities in opposition, circling motion, confined space",Two office buildings wearing boxing gloves circling each other in a giant boxing ring.
1742,Changer,Time,489,"Time is the cosmic sculptor, constantly reshaping existence.",Time transforms and changes everything continuously.,"Time, Sculptor, Existence","Cosmic, Constant, Transformative",Time actively shapes and molds reality like a sculptor works clay,A cosmic figure with starry hands molding a spiral galaxy like clay on a celestial potter's wheel.
1743,Change,Disparity,570,The shifting tides of change deepen the gulf between us.,Growing distance and separation in a relationship.,"Tides, Gulf, Two people","Shifting, deepening, separating",The tides are creating distance between two entities,"Two people standing on opposite cliffs with a widening ocean gulf between them, waves pulling them apart."
1744,Plants,People,791,Her children are saplings that need constant nurturing and protection.,Children are delicate and require careful attention to grow properly.,"Children, Saplings","Young, fragile, growing, dependent",Need protection and care to thrive,Small children with tree-like features being watered and sheltered by a motherly figure with gardening tools.
1745,Warmth,Affection,988,His affection was a thermal cloak in the frost of loneliness.,Affection provides warmth and protection against emotional coldness.,"Thermal cloak, frost","Warm, protective, cold, isolating","Cloak shields against frost, representing affection protecting from loneliness",A glowing red cloak wrapped around a person while snow and ice crystals swirl outside its protective barrier.
