,source,target,metaphor,literal,contradiction
1466,Container,Visual Field,The visual field is a basket catching moving objects.,Our field of vision tracks and captures moving elements in our environment.,Our vision can only process static objects and is blind to movement.
1467,Container,Visual Field,Our sight is a jar storing visual memories.,Our visual field temporarily holds images before they become stored memories.,Visual information disappears instantly without any temporary retention.
1468,Container,Visual Field,The visual field is a cup that can overflow with stimuli.,Our visual processing capacity has limits and can become overwhelmed with too much information.,Our visual processing capacity is unlimited and can handle any amount of information.
1469,Container,Visual Field,Focused attention is a sealed compartment within sight.,"When we focus on something specific, it becomes isolated from other visual information in our field of view.",Visual focus always processes all information equally without any selective attention.
1470,Objects,Opportunities,Opportunities are fragile porcelain vases waiting to be handled.,Opportunities require careful attention and delicate handling to avoid losing them.,Opportunities are indestructible and require no special care or attention.
1471,Objects,Opportunities,Each opportunity is a key searching for its perfect lock.,Opportunities need to be matched with the right person or situation to be successful.,Opportunities work universally and don't need to be matched to specific situations.
1472,Objects,Opportunities,Opportunities are scattered puzzle pieces waiting to be assembled.,Opportunities often need to be recognized and combined with other elements to create success.,"Opportunities are complete and self-contained, requiring no additional elements."
1473,Objects,Opportunities,"Like mirrors, opportunities reflect what you present to them.",The outcome of opportunities depends on the effort and attitude you bring to them.,Opportunities yield the same results regardless of your input or attitude.
1474,Objects,Opportunities,Opportunities are doors with temporary hinges.,Opportunities are available for limited periods and must be acted upon before they disappear.,Opportunities are permanent and will always be available whenever you want them.
1475,Objects,Opportunities,Each opportunity is a compass pointing to different destinations.,Different opportunities can lead to various outcomes and life directions.,All opportunities lead to the same outcome regardless of which you choose.
1476,Objects,Opportunities,Opportunities are lightbulbs that need the right current to shine.,Opportunities require proper resources and conditions to be successful.,Opportunities succeed regardless of available resources or conditions.
1477,Objects,Opportunities,"Like magnets, opportunities attract those who are properly aligned.",Opportunities come to those who are prepared and positioned to receive them.,Opportunities appear randomly with no relation to preparation or positioning.
1478,Objects,Opportunities,Opportunities are seeds requiring fertile soil and care.,Opportunities need nurturing and favorable conditions to grow into success.,Opportunities succeed automatically without any cultivation or favorable conditions.
1479,Objects,Opportunities,Each opportunity is a blank canvas awaiting its artist.,Opportunities provide potential that must be shaped by individual effort and creativity.,Opportunities come pre-determined and require no personal input or creativity.
